Source,Name,RSS feed URLs (where available),Type,Topic,Source or Referring 2,Editorial Slant,AllSides Rating,Pew Rating,BU_Libraries_ideology_score,Facebook_paper_ideology_score,AdFontes Bias,AdFontes Bias Score,AdFontes Reliability,AdFontes Reliability Score,Associated Twitter Handle,Associated Publisher,Text Aliases,Description,Position (if explicit),wiki_url,wiki_summary_city,wiki_summary_country,Country,Region,Twitter_bio,Est number of pages
https://www.theaustralian.com.au,The Australian,,News Source,International,Referring,,,,,,,,,,@australian,The Australian,,,,https://en.wikipedia.org/wiki/The_Australian,Brisbane,Australia,Australia,Oceania,,
https://www.jewishnews.net.au,The Australian Jewish News,,News Source,Jewish,Referring,,,,,,,,,,@aus_jewishnews,The Australian Jewish News,,Australia-Based News Outlet,Pro-Israel,https://en.wikipedia.org/wiki/The_Australian_Jewish_News,Sydney,Australia,Australia,Oceania,,
https://thebaffler.com,The Baffler,,News Source,International,Referring,,,,,-0.9487,,,,,@thebafflermag,The Baffler,,US based leftist magazine,,,,,United States,NAmerica,,
http://thebalochistanpost.net,The Balochistan Times,,News Source,International,Referring,,,,,-0.8074,,,,,@TBPEnglish,The Balochistan Times,,,,,,,Pakistan,Asia,,
http://baltimoresun.com,The Baltimore Sun,,News Source,International,Referring,left-center,,,Leans Liberal,-0.9487,,,,,@baltimoresun,The Baltimore Sun,,,,https://en.wikipedia.org/wiki/The_Baltimore_Sun,Maryland,,United States,NAmerica,,
https://www.thebanner.org,The Banner,,News Source,Christian,Referring,,,,,,,,,,@crcbanner,The Banner,,"Magazine of the Reform Christian church, EPA",,,,,United States,NAmerica,,
https://www.baptistmessenger.com,The Baptist Messenger,,News Source,Christian,Referring,,,,,,,,,,@baptmessenger,The Baptist Messenger,,"Southern Baptist news, EPA",,https://en.wikipedia.org/wiki/Baptist_Messenger,Oklahoma,,United States,NAmerica,,
https://www.baptiststandard.com,The Baptist Standard,,News Source,Christian,Referring,,,,,,,,,,@BaptistStandard,The Baptist Standard,,"Texan Baptist news, EPA",,,,,United States,NAmerica,,
https://bismarcktribune.com,The Bismarck Tribune,,News Source,International,Referring,,,,,-0.9487,,,,,@bistrib,The Bismarck Tribune,,North Dakota news,,https://en.wikipedia.org/wiki/The_Bismarck_Tribune,Bismarck,,United States,NAmerica,,
https://www.reformer.com,The Brattleboro Reformer,,News Source,International,Referring,,,,,,,,,,@brattreformer,The Brattleboro Reformer,,Vermont news,,https://en.wikipedia.org/wiki/Brattleboro_Reformer,,,United States,NAmerica,,
